"site","year","TRT","class","count","clickr","site_year","tier1","tier2","tier3"
"113","1609","XSP","CCA",55,"CA","113_1609","calcifying","calcifying.algae","CCA"
"115","1609","BYSP","CCA",61,"CA","115_1609","calcifying","calcifying.algae","CCA"
"117","1609","RAN","CCA",52,"CA","117_1609","calcifying","calcifying.algae","CCA"
"119","1609","CON","CCA",33,"CA","119_1609","calcifying","calcifying.algae","CCA"
"121","1609","CON","CCA",31,"CA","121_1609","calcifying","calcifying.algae","CCA"
"123","1609","XSP","CCA",17,"CA","123_1609","calcifying","calcifying.algae","CCA"
"125","1609","CON","CCA",102,"CA","125_1609","calcifying","calcifying.algae","CCA"
"127","1609","BYSP","CCA",87,"CA","127_1609","calcifying","calcifying.algae","CCA"
"129","1609","REM","CCA",112,"CA","129_1609","calcifying","calcifying.algae","CCA"
"101","1709","REM","CCA",148,"CA","101_1709","calcifying","calcifying.algae","CCA"
"103","1709","RAN","CCA",60,"CA","103_1709","calcifying","calcifying.algae","CCA"
"105","1709","BYSP","CCA",64,"CA","105_1709","calcifying","calcifying.algae","CCA"
"107","1709","XSP","CCA",95,"CA","107_1709","calcifying","calcifying.algae","CCA"
"109","1709","RAN","CCA",74,"CA","109_1709","calcifying","calcifying.algae","CCA"
"111","1709","REM","CCA",132,"CA","111_1709","calcifying","calcifying.algae","CCA"
"113","1709","XSP","CCA",101,"CA","113_1709","calcifying","calcifying.algae","CCA"
"115","1709","BYSP","CCA",59,"CA","115_1709","calcifying","calcifying.algae","CCA"
"117","1709","RAN","CCA",84,"CA","117_1709","calcifying","calcifying.algae","CCA"
"119","1709","CON","CCA",120,"CA","119_1709","calcifying","calcifying.algae","CCA"
"121","1709","CON","CCA",156,"CA","121_1709","calcifying","calcifying.algae","CCA"
"123","1709","XSP","CCA",41,"CA","123_1709","calcifying","calcifying.algae","CCA"
"125","1709","CON","CCA",127,"CA","125_1709","calcifying","calcifying.algae","CCA"
"127","1709","BYSP","CCA",97,"CA","127_1709","calcifying","calcifying.algae","CCA"
"129","1709","REM","CCA",122,"CA","129_1709","calcifying","calcifying.algae","CCA"
"101","1809","REM","CCA",80,"CA","101_1809","calcifying","calcifying.algae","CCA"
"103","1809","RAN","CCA",75,"CA","103_1809","calcifying","calcifying.algae","CCA"
"105","1809","BYSP","CCA",38,"CA","105_1809","calcifying","calcifying.algae","CCA"
"107","1809","XSP","CCA",56,"CA","107_1809","calcifying","calcifying.algae","CCA"
"109","1809","RAN","CCA",60,"CA","109_1809","calcifying","calcifying.algae","CCA"
"111","1809","REM","CCA",105,"CA","111_1809","calcifying","calcifying.algae","CCA"
"113","1809","XSP","CCA",57,"CA","113_1809","calcifying","calcifying.algae","CCA"
"115","1809","BYSP","CCA",70,"CA","115_1809","calcifying","calcifying.algae","CCA"
"117","1809","RAN","CCA",50,"CA","117_1809","calcifying","calcifying.algae","CCA"
"119","1809","CON","CCA",94,"CA","119_1809","calcifying","calcifying.algae","CCA"
"121","1809","CON","CCA",110,"CA","121_1809","calcifying","calcifying.algae","CCA"
"123","1809","XSP","CCA",14,"CA","123_1809","calcifying","calcifying.algae","CCA"
"125","1809","CON","CCA",77,"CA","125_1809","calcifying","calcifying.algae","CCA"
"127","1809","BYSP","CCA",62,"CA","127_1809","calcifying","calcifying.algae","CCA"
"129","1809","REM","CCA",55,"CA","129_1809","calcifying","calcifying.algae","CCA"
"101","1408","REM","Corallimorph",198,"CA","101_1408","noncalcifying","Corallimorph","Corallimorph"
"103","1408","RAN","Corallimorph",122,"CA","103_1408","noncalcifying","Corallimorph","Corallimorph"
"105","1408","BYSP","Corallimorph",140,"CA","105_1408","noncalcifying","Corallimorph","Corallimorph"
"107","1408","XSP","Corallimorph",164,"CA","107_1408","noncalcifying","Corallimorph","Corallimorph"
"109","1408","RAN","Corallimorph",250,"CA","109_1408","noncalcifying","Corallimorph","Corallimorph"
"111","1408","REM","Corallimorph",198,"CA","111_1408","noncalcifying","Corallimorph","Corallimorph"
"113","1408","XSP","Corallimorph",178,"CA","113_1408","noncalcifying","Corallimorph","Corallimorph"
"115","1408","BYSP","Corallimorph",226,"CA","115_1408","noncalcifying","Corallimorph","Corallimorph"
"117","1408","RAN","Corallimorph",149,"CA","117_1408","noncalcifying","Corallimorph","Corallimorph"
"123","1408","XSP","Corallimorph",181,"CA","123_1408","noncalcifying","Corallimorph","Corallimorph"
"127","1408","BYSP","Corallimorph",178,"CA","127_1408","noncalcifying","Corallimorph","Corallimorph"
"129","1408","REM","Corallimorph",230,"CA","129_1408","noncalcifying","Corallimorph","Corallimorph"
"101","1409","REM","Corallimorph",1,"CA","101_1409","noncalcifying","Corallimorph","Corallimorph"
"119","1409","CON","Corallimorph",215,"CA","119_1409","noncalcifying","Corallimorph","Corallimorph"
"121","1409","CON","Corallimorph",209,"CA","121_1409","noncalcifying","Corallimorph","Corallimorph"
"125","1409","CON","Corallimorph",242,"CA","125_1409","noncalcifying","Corallimorph","Corallimorph"
"101","1509","REM","Corallimorph",7,"CA","101_1509","noncalcifying","Corallimorph","Corallimorph"
"103","1509","RAN","Corallimorph",8,"CA","103_1509","noncalcifying","Corallimorph","Corallimorph"
