"","site","year","class","count","TRT","percent"
"336","107","1709","M. capitata",1,"XSP",0.00309597523219814
"337","107","1709","P. damicornis",6,"XSP",0.0185758513931889
"338","107","1709","Peyssonnelia",30,"XSP",0.0928792569659443
"339","107","1709","Sediment",1,"XSP",0.00309597523219814
"340","107","1709","Turf",149,"XSP",0.461300309597523
"341","107","1809","A. acuminata",40,"XSP",0.136518771331058
"342","107","1809","CCA",56,"XSP",0.191126279863481
"343","107","1809","Corallimorph",4,"XSP",0.0136518771331058
"344","107","1809","M. capitata",3,"XSP",0.0102389078498294
"345","107","1809","Montipora spp.",1,"XSP",0.00341296928327645
"346","107","1809","P. damicornis",12,"XSP",0.0409556313993174
"347","107","1809","Peyssonnelia",5,"XSP",0.0170648464163823
"348","107","1809","Turf",172,"XSP",0.587030716723549
"349","107","2019","A. acuminata",69,"XSP",0.214953271028037
"350","107","2019","CCA",88,"XSP",0.274143302180685
"351","107","2019","Caulerpa",1,"XSP",0.00311526479750779
"352","107","2019","Corallimorph",4,"XSP",0.0124610591900312
"353","107","2019","Lobophora",9,"XSP",0.0280373831775701
"354","107","2019","M. capitata",3,"XSP",0.00934579439252336
"355","107","2019","P. damicornis",21,"XSP",0.0654205607476635
"356","107","2019","Peyssonnelia",7,"XSP",0.0218068535825545
"357","107","2019","Pocillopora spp.",2,"XSP",0.00623052959501558
"358","107","2019","Turf",117,"XSP",0.364485981308411
"359","107","2020","A. acuminata",67,"XSP",0.242753623188406
"360","107","2020","CCA",37,"XSP",0.134057971014493
"361","107","2020","Galaxaura",2,"XSP",0.0072463768115942
"362","107","2020","Halimeda",3,"XSP",0.0108695652173913
"363","107","2020","M. capitata",5,"XSP",0.0181159420289855
"364","107","2020","Montipora spp.",1,"XSP",0.0036231884057971
"365","107","2020","P. damicornis",28,"XSP",0.101449275362319
"366","107","2020","Peyssonnelia",21,"XSP",0.0760869565217391
"367","107","2020","Turf",112,"XSP",0.405797101449275
"368","107","2022","A. acuminata",87,"XSP",0.292929292929293
"369","107","2022","CCA",31,"XSP",0.104377104377104
"370","107","2022","Corallimorph",5,"XSP",0.0168350168350168
"371","107","2022","Galaxaura",2,"XSP",0.00673400673400673
"372","107","2022","Lobophora",3,"XSP",0.0101010101010101
"373","107","2022","M. capitata",7,"XSP",0.0235690235690236
"374","107","2022","Montipora spp.",1,"XSP",0.00336700336700337
"375","107","2022","P. damicornis",10,"XSP",0.0336700336700337
"376","107","2022","Peyssonnelia",6,"XSP",0.0202020202020202
"377","107","2022","Turf",145,"XSP",0.488215488215488
"378","109","1408","CCA",1,"RAN",0.0036101083032491
"379","109","1408","Corallimorph",250,"RAN",0.902527075812274
"380","109","1408","Limestone",4,"RAN",0.0144404332129964
"381","109","1408","Peyssonnelia",2,"RAN",0.0072202166064982
"382","109","1408","Turf",20,"RAN",0.0722021660649819
"383","109","1409","A. acuminata",3,"RAN",0.0121951219512195
"384","109","1409","Limestone",240,"RAN",0.975609756097561
"385","109","1409","P. damicornis",2,"RAN",0.00813008130081301
"386","109","1409","Peyssonnelia",1,"RAN",0.0040650406504065
"387","109","1509","A. acuminata",7,"RAN",0.0225806451612903
"388","109","1509","CCA",84,"RAN",0.270967741935484
"389","109","1509","Caulerpa",5,"RAN",0.0161290322580645
"390","109","1509","Corallimorph",3,"RAN",0.00967741935483871
"391","109","1509","M. capitata",1,"RAN",0.0032258064516129
"392","109","1509","P. damicornis",1,"RAN",0.0032258064516129
"393","109","1509","Peyssonnelia",5,"RAN",0.0161290322580645
"394","109","1509","Sediment",1,"RAN",0.0032258064516129
"395","109","1509","Turf",203,"RAN",0.654838709677419
"396","109","1510","A. acuminata",7,"RAN",0.0229508196721311
"397","109","1510","CCA",63,"RAN",0.20655737704918
"398","109","1510","Caulerpa",10,"RAN",0.0327868852459016
"399","109","1510","Limestone",1,"RAN",0.00327868852459016
"400","109","1510","P. damicornis",2,"RAN",0.00655737704918033
"401","109","1510","Peyssonnelia",1,"RAN",0.00327868852459016
"402","109","1510","Sediment",1,"RAN",0.00327868852459016
"403","109","1510","Turf",220,"RAN",0.721311475409836
"404","109","1606","A. acuminata",9,"RAN",0.0286624203821656
"405","109","1606","CCA",57,"RAN",0.181528662420382
"406","109","1606","Caulerpa",1,"RAN",0.00318471337579618
"407","109","1606","M. capitata",2,"RAN",0.00636942675159236
"408","109","1606","Peyssonnelia",4,"RAN",0.0127388535031847
"409","109","1606","Turf",241,"RAN",0.767515923566879
"410","109","1609","A. acuminata",10,"RAN",0.0317460317460317
"411","109","1609","CCA",113,"RAN",0.358730158730159
"412","109","1609","Caulerpa",3,"RAN",0.00952380952380952
"413","109","1609","Corallimorph",3,"RAN",0.00952380952380952
"414","109","1609","M. capitata",2,"RAN",0.00634920634920635
"415","109","1609","P. damicornis",1,"RAN",0.00317460317460317
"416","109","1609","Peyssonnelia",3,"RAN",0.00952380952380952
"417","109","1609","Sediment",1,"RAN",0.00317460317460317
"418","109","1609","Turf",179,"RAN",0.568253968253968
"419","109","1709","A. acuminata",19,"RAN",0.0595611285266458
"420","109","1709","CCA",74,"RAN",0.231974921630094
"421","109","1709","Corallimorph",2,"RAN",0.00626959247648903
"422","109","1709","M. capitata",2,"RAN",0.00626959247648903
"423","109","1709","P. damicornis",3,"RAN",0.00940438871473354
"424","109","1709","Peyssonnelia",24,"RAN",0.0752351097178683
"425","109","1709","Sediment",4,"RAN",0.0125391849529781
"426","109","1709","Turf",191,"RAN",0.598746081504702
"427","109","1809","A. acuminata",29,"RAN",0.0926517571884984
"428","109","1809","CCA",60,"RAN",0.191693290734824
"429","109","1809","Leptastrea",1,"RAN",0.00319488817891374
"430","109","1809","M. capitata",2,"RAN",0.00638977635782748
"431","109","1809","P. damicornis",6,"RAN",0.0191693290734824
"432","109","1809","Peyssonnelia",19,"RAN",0.060702875399361
"433","109","1809","Sediment",1,"RAN",0.00319488817891374
"434","109","1809","Turf",195,"RAN",0.623003194888179
"435","109","2019","A. acuminata",53,"RAN",0.167192429022082
"436","109","2019","CCA",82,"RAN",0.258675078864353
"437","109","2019","Caulerpa",8,"RAN",0.0252365930599369
"438","109","2019","Corallimorph",1,"RAN",0.00315457413249211
"439","109","2019","Lobophora",7,"RAN",0.0220820189274448
"440","109","2019","M. capitata",1,"RAN",0.00315457413249211
"441","109","2019","P. damicornis",7,"RAN",0.0220820189274448
"442","109","2019","Peyssonnelia",16,"RAN",0.0504731861198738
"443","109","2019","Pocillopora spp.",4,"RAN",0.0126182965299685
"444","109","2019","Turf",138,"RAN",0.435331230283912
"445","109","2021","A. acuminata",96,"RAN",0.302839116719243
"446","109","2021","CCA",66,"RAN",0.20820189274448
"447","109","2021","Corallimorph",8,"RAN",0.0252365930599369
"448","109","2021","Lobophora",2,"RAN",0.00630914826498423
"449","109","2021","M. capitata",2,"RAN",0.00630914826498423
"450","109","2021","P. damicornis",12,"RAN",0.0378548895899054
"451","109","2021","Peyssonnelia",20,"RAN",0.0630914826498423
"452","109","2021","Sediment",2,"RAN",0.00630914826498423
"453","109","2021","Turf",109,"RAN",0.34384858044164
"454","111","1408","CCA",4,"REM",0.0156862745098039
"455","111","1408","Corallimorph",198,"REM",0.776470588235294
"456","111","1408","Limestone",9,"REM",0.0352941176470588
"457","111","1408","Peyssonnelia",17,"REM",0.0666666666666667
"458","111","1408","Sediment",4,"REM",0.0156862745098039
